temp,hum,pres,lux,uv,prec,label
28.78,46.57,1002.91,3.33,1,0,cotton
28.76,46.03,1002.91,3.33,1,0,cotton
28.75,45.74,1002.89,3.33,1,0,cotton
28.75,45.51,1002.91,3.33,1,0,cotton
28.75,45.04,1002.93,3.33,1,0,cotton
28.73,45.22,1002.94,3.33,1,0,cotton
28.74,45.3,1002.96,3.33,1,0,cotton
28.72,45.75,1002.97,3.33,1,0,cotton
28.75,46.21,1003,3.33,1,0,cotton
28.77,46.78,1002.99,3.33,1,0,cotton
28.77,46.97,1003,3.33,1,0,cotton
28.78,47.57,1003.05,3.33,1,0,cotton
28.78,47.52,1003.04,3.33,1,0,cotton
28.82,48.36,1003.02,3.33,1,0,cotton
28.83,48.42,1003,3.33,1,0,cotton
28.85,48.79,1003.05,3.33,1,0,cotton
28.85,49.18,1003.03,40,1,0,cotton
28.87,49.48,1003.07,39.17,1,0,cotton
28.87,50.14,1003.06,39.17,1,0,cotton
28.89,49.73,1003.09,12.5,1,0,cotton
28.9,50.05,1003.08,11.67,1,0,cotton
28.9,50.15,1003.07,12.5,1,0,cotton
28.97,50.36,1003.1,4.17,1,0,cotton
28.99,49.89,1003.1,5,1,0,cotton
29.02,50.35,1003.11,9.17,1,0,cotton
29.04,50.34,1003.12,12.5,1,0,cotton
29.01,50.78,1003.12,7.5,1,0,cotton
29.03,50.24,1003.12,12.5,1,0,cotton
29.07,50.14,1003.14,11.67,1,0,cotton
29.1,50.3,1003.12,12.5,1,0,cotton
29.13,50.17,1003.15,12.5,1,0,cotton
29.17,50.3,1003.2,12.5,1,0,cotton
29.21,50.21,1003.16,12.5,1,0,cotton
29.24,50.5,1003.14,12.5,1,0,cotton
29.24,50.88,1003.15,12.5,1,0,cotton
29.29,50.66,1003.18,13.33,1,0,cotton
29.32,49.8,1003.17,12.5,1,0,cotton
29.37,50.22,1003.16,13.33,1,0,cotton
29.4,49.95,1003.18,12.5,1,0,cotton
29.44,49.68,1003.17,12.5,1,0,cotton
29.43,50.48,1003.19,5.83,1,0,cotton
29.42,50.43,1003.17,9.17,1,0,cotton
29.46,49.94,1003.2,13.33,1,0,cotton
29.47,49.45,1003.18,12.5,1,0,cotton
29.51,49.38,1003.22,13.33,1,0,cotton
29.55,49.5,1003.21,13.33,1,0,cotton
29.54,49.33,1003.22,13.33,1,0,cotton
29.58,49.33,1003.23,4.17,1,0,cotton
29.6,49.05,1003.24,4.17,1,0,cotton
29.65,49.04,1003.25,9.17,1,0,cotton
29.65,48.9,1003.22,4.17,1,0,cotton
29.57,48.47,1003.26,9.17,1,0,cotton
29.56,48.68,1003.23,12.5,1,0,cotton
29.6,48.39,1003.24,12.5,1,0,cotton
29.63,48.25,1003.24,4.17,1,0,cotton
29.66,47.96,1003.23,4.17,1,0,cotton
29.64,47.8,1003.23,7.5,1,0,cotton
29.63,47.59,1003.22,4.17,1,0,cotton
29.66,47.53,1003.25,12.5,1,0,cotton
29.62,47.18,1003.22,12.5,1,0,cotton
29.59,47.65,1003.23,13.33,1,0,cotton
29.61,47.34,1003.22,12.5,1,0,cotton
29.6,46.69,1003.23,12.5,1,0,cotton
29.61,46.93,1003.24,12.5,1,0,cotton
29.61,47.06,1003.24,12.5,1,0,cotton
29.66,46.63,1003.25,12.5,1,0,cotton
29.61,46.36,1003.24,13.33,1,0,cotton
29.58,46.51,1003.22,12.5,1,0,cotton
29.61,46.46,1003.25,12.5,1,0,cotton
29.63,46.83,1003.26,8.33,1,0,cotton
29.66,46.49,1003.27,12.5,1,0,banana
29.68,46.55,1003.28,10,1,0,banana
29.71,46.46,1003.3,12.5,1,0,banana
29.73,45.95,1003.28,12.5,1,0,banana
29.73,46.56,1003.28,12.5,1,0,banana
29.65,45.92,1003.29,59.17,0,0,banana
29.62,45.81,1003.33,56.67,0,0,banana
29.59,46.06,1003.33,56.67,0,0,banana
29.54,46.11,1003.32,56.67,0,0,banana
29.55,46.22,1003.34,55.83,0,0,banana
29.48,46.01,1003.38,55.83,1,0,banana
29.47,46.01,1003.4,61.67,1,0,banana
29.49,46,1003.41,60.83,1,0,banana
29.35,46.32,1003.39,61.67,1,0,banana
29.28,46.4,1003.38,53.33,1,0,banana
29.21,46.42,1003.4,61.67,1,0,banana
29.27,46.36,1003.41,55,1,0,banana
29.26,46.27,1003.43,53.33,1,0,banana
29.25,46.7,1003.43,61.67,1,0,banana
29.18,46.77,1003.42,61.67,1,0,banana
29.25,46.75,1003.43,61.67,1,0,banana
29.28,46.49,1003.46,50.83,1,0,banana
29.28,44.89,1003.45,61.67,1,0,banana
29.24,44.21,1003.43,60.83,1,0,banana
29.22,45.02,1003.49,60.83,1,0,banana
29.19,43.63,1003.45,60.83,1,0,banana
29.15,42.82,1003.46,60,1,0,banana
29.07,43.81,1003.47,60.83,1,0,banana
28.98,42.65,1003.44,55,1,0,banana
28.91,42.5,1003.45,58.33,1,0,banana
28.83,43.03,1003.47,60,1,0,banana
28.8,42.54,1003.5,60,1,0,banana
28.74,42.63,1003.49,60.83,1,0,banana
28.65,43.19,1003.49,60.83,1,0,banana
28.6,42.75,1003.52,60.83,1,0,banana
28.52,43.58,1003.52,60.83,1,0,banana
28.54,44.33,1003.5,60,1,0,banana
28.58,43.67,1003.54,60,1,0,banana
28.64,43.95,1003.49,60.83,1,0,banana
28.63,43.42,1003.55,60.83,1,0,banana
28.67,43.71,1003.57,60.83,1,0,banana
28.53,43.46,1003.56,60.83,1,0,banana
28.62,43.76,1003.56,61.67,1,0,banana
28.66,44.41,1003.6,60.83,1,0,banana
28.63,44.71,1003.54,61.67,1,0,banana
28.65,44.38,1003.6,61.67,1,0,banana
28.62,44.74,1003.61,62.5,1,0,banana
28.55,44.91,1003.61,63.33,1,0,banana
28.59,44.89,1003.65,63.33,1,0,banana
28.54,45.23,1003.62,64.17,1,0,banana
28.55,45.14,1003.63,63.33,1,0,banana
28.61,44.95,1003.65,63.33,1,0,banana
28.6,44.97,1003.66,62.5,1,0,banana
28.58,45.33,1003.7,61.67,1,0,banana
28.58,45.12,1003.7,54.17,1,0,banana
28.58,45.09,1003.65,62.5,1,0,banana
28.58,45.77,1003.68,62.5,1,0,banana
28.68,44.9,1003.71,62.5,1,0,banana
28.61,44.75,1003.71,63.33,1,0,banana
28.59,44.79,1003.72,62.5,1,0,banana
